"","X","value","nrTrObjectsPerClass","resizeSize","resizeMethod","thresholding","nrFeatures","featSelect","pca","Representation"
"117","loglc",0.1765,200,"16","bicubic","false","0","0",0.95,"Pixels"
"118","knnc",0.082375,200,"16","bicubic","false","0","0",0.95,"Pixels"
"119","treec",NA,200,"16","bicubic","false","0","0",0.95,"Pixels"
"120","svc",0.10337,200,"16","bicubic","false","0","0",0.8,"Pixels"
"121","qdc",0.067625,200,"16","bicubic","false","0","0",0.8,"Pixels"
"122","parzen",0.073375,200,"16","bicubic","false","0","0",0.8,"Pixels"
"123","bpxnc",0.2405,200,"16","bicubic","false","0","0",0.8,"Pixels"
"124","loglc",0.18088,200,"16","bicubic","false","0","0",0.8,"Pixels"
"125","knnc",0.073,200,"16","bicubic","false","0","0",0.8,"Pixels"
"126","treec",NA,200,"16","bicubic","false","0","0",0.8,"Pixels"
"127","svc",0.15837,200,"6","bicubic","false","0","0",0,"Pixels"
"128","qdc",0.066,200,"6","bicubic","false","0","0",0,"Pixels"
"129","parzen",0.05075,200,"6","bicubic","false","0","0",0,"Pixels"
"130","bpxnc",0.2495,200,"6","bicubic","false","0","0",0,"Pixels"
"131","loglc",0.467,200,"6","bicubic","false","0","0",0,"Pixels"
"132","knnc",0.052625,200,"6","bicubic","false","0","0",0,"Pixels"
"133","fisherc",NA,200,"6","bicubic","false","0","0",0,"Pixels"
"134","svc",0.10412,200,"6","bicubic","false","0","0",0.95,"Pixels"
"135","qdc",0.045125,200,"6","bicubic","false","0","0",0.95,"Pixels"
"136","parzen",0.05825,200,"6","bicubic","false","0","0",0.95,"Pixels"
"137","bpxnc",0.22487,200,"6","bicubic","false","0","0",0.95,"Pixels"
"138","loglc",0.10187,200,"6","bicubic","false","0","0",0.95,"Pixels"
"139","knnc",0.061125,200,"6","bicubic","false","0","0",0.95,"Pixels"
"140","fisherc",NA,200,"6","bicubic","false","0","0",0.95,"Pixels"
"141","svc",0.14763,200,"6","bicubic","false","0","0",0.8,"Pixels"
"142","qdc",0.06425,200,"6","bicubic","false","0","0",0.8,"Pixels"
"143","parzen",0.069875,200,"6","bicubic","false","0","0",0.8,"Pixels"
"144","bpxnc",0.34837,200,"6","bicubic","false","0","0",0.8,"Pixels"
"145","loglc",0.13587,200,"6","bicubic","false","0","0",0.8,"Pixels"
"146","knnc",0.07575,200,"6","bicubic","false","0","0",0.8,"Pixels"
"147","fisherc",NA,200,"6","bicubic","false","0","0",0.8,"Pixels"
"148","svc",0.12487,200,"8","bicubic","false","0","0",0,"Pixels"
"149","qdc",0.079375,200,"8","bicubic","false","0","0",0,"Pixels"
"150","parzen",0.04975,200,"8","bicubic","false","0","0",0,"Pixels"
"151","bpxnc",0.39025,200,"8","bicubic","false","0","0",0,"Pixels"
"152","loglc",0.52512,200,"8","bicubic","false","0","0",0,"Pixels"
"153","knnc",0.051875,200,"8","bicubic","false","0","0",0,"Pixels"
"154","fisherc",NA,200,"8","bicubic","false","0","0",0,"Pixels"
"155","svc",0.093875,200,"8","bicubic","false","0","0",0.95,"Pixels"
"156","qdc",0.04775,200,"8","bicubic","false","0","0",0.95,"Pixels"
"157","parzen",0.05375,200,"8","bicubic","false","0","0",0.95,"Pixels"
"158","bpxnc",0.37525,200,"8","bicubic","false","0","0",0.95,"Pixels"
"159","loglc",0.10113,200,"8","bicubic","false","0","0",0.95,"Pixels"
"160","knnc",0.057125,200,"8","bicubic","false","0","0",0.95,"Pixels"
"161","fisherc",NA,200,"8","bicubic","false","0","0",0.95,"Pixels"
"162","svc",0.11338,200,"8","bicubic","false","0","0",0.8,"Pixels"
"163","qdc",0.047125,200,"8","bicubic","false","0","0",0.8,"Pixels"
"164","parzen",0.058,200,"8","bicubic","false","0","0",0.8,"Pixels"
"165","bpxnc",0.2775,200,"8","bicubic","false","0","0",0.8,"Pixels"
"166","loglc",0.111,200,"8","bicubic","false","0","0",0.8,"Pixels"
"167","knnc",0.06025,200,"8","bicubic","false","0","0",0.8,"Pixels"
"168","fisherc",NA,200,"8","bicubic","false","0","0",0.8,"Pixels"
