"","X","value","nrTrObjectsPerClass","resizeSize","resizeMethod","thresholding","nrFeatures","featSelect","pca","Representation"
"98","treec",NA,10,"10","box","false","5","featselp",0.95,"Pixels"
"99","svc",0.57697,10,"10","box","false","5","featselp",0.8,"Pixels"
"100","qdc",0.56737,10,"10","box","false","5","featselp",0.8,"Pixels"
"101","parzen",0.5597,10,"10","box","false","5","featselp",0.8,"Pixels"
"102","bpxnc",0.62414,10,"10","box","false","5","featselp",0.8,"Pixels"
"103","loglc",0.54808,10,"10","box","false","5","featselp",0.8,"Pixels"
"104","knnc",0.55535,10,"10","box","false","5","featselp",0.8,"Pixels"
"105","treec",NA,10,"10","box","false","5","featselp",0.8,"Pixels"
"106","svc",0.33303,10,"10","box","false","20","featselp",0,"Pixels"
"107","qdc",0.72586,10,"10","box","false","20","featselp",0,"Pixels"
"108","parzen",0.31081,10,"10","box","false","20","featselp",0,"Pixels"
"109","bpxnc",0.5696,10,"10","box","false","20","featselp",0,"Pixels"
"110","loglc",0.41596,10,"10","box","false","20","featselp",0,"Pixels"
"111","knnc",0.34657,10,"10","box","false","20","featselp",0,"Pixels"
"112","treec",NA,10,"10","box","false","20","featselp",0,"Pixels"
"113","svc",0.32545,10,"10","box","false","20","featselp",0.95,"Pixels"
"114","qdc",0.70162,10,"10","box","false","20","featselp",0.95,"Pixels"
"115","parzen",0.30071,10,"10","box","false","20","featselp",0.95,"Pixels"
"116","bpxnc",0.47556,10,"10","box","false","20","featselp",0.95,"Pixels"
"117","loglc",0.42455,10,"10","box","false","20","featselp",0.95,"Pixels"
"118","knnc",0.34707,10,"10","box","false","20","featselp",0.95,"Pixels"
"119","treec",NA,10,"10","box","false","20","featselp",0.95,"Pixels"
"120","svc",0.3602,10,"10","box","false","20","featselp",0.8,"Pixels"
"121","qdc",0.58515,10,"10","box","false","20","featselp",0.8,"Pixels"
"122","parzen",0.32071,10,"10","box","false","20","featselp",0.8,"Pixels"
"123","bpxnc",0.48293,10,"10","box","false","20","featselp",0.8,"Pixels"
"124","loglc",0.39657,10,"10","box","false","20","featselp",0.8,"Pixels"
"125","knnc",0.34515,10,"10","box","false","20","featselp",0.8,"Pixels"
"126","treec",NA,10,"10","box","false","20","featselp",0.8,"Pixels"
"127","svc",0.32263,10,"10","box","false","50","featselp",0,"Pixels"
"128","qdc",0.84182,10,"10","box","false","50","featselp",0,"Pixels"
"129","parzen",0.26727,10,"10","box","false","50","featselp",0,"Pixels"
"130","bpxnc",0.46798,10,"10","box","false","50","featselp",0,"Pixels"
"131","loglc",0.45848,10,"10","box","false","50","featselp",0,"Pixels"
"132","knnc",0.27061,10,"10","box","false","50","featselp",0,"Pixels"
"133","treec",NA,10,"10","box","false","50","featselp",0,"Pixels"
"134","svc",0.31788,10,"10","box","false","50","featselp",0.95,"Pixels"
"135","qdc",0.76768,10,"10","box","false","50","featselp",0.95,"Pixels"
"136","parzen",0.26848,10,"10","box","false","50","featselp",0.95,"Pixels"
"137","bpxnc",0.42586,10,"10","box","false","50","featselp",0.95,"Pixels"
"138","loglc",0.39323,10,"10","box","false","50","featselp",0.95,"Pixels"
"139","knnc",0.27677,10,"10","box","false","50","featselp",0.95,"Pixels"
