"","X","value","nrTrObjectsPerClass","resizeSize","resizeMethod","thresholding","nrFeatures","featSelect","pca","Representation"
"134","svc",0.28364,10,"10","bilinear","false","0","none",0,"Features"
"135","qdc",0.9,10,"10","bilinear","false","0","none",0,"Features"
"136","parzen",0.9,10,"10","bilinear","false","0","none",0,"Features"
"137","bpxnc",0.36222,10,"10","bilinear","false","0","none",0,"Features"
"138","loglc",0.16172,10,"10","bilinear","false","0","none",0,"Features"
"139","knnc",0.50778,10,"10","bilinear","false","0","none",0,"Features"
"140","treec",0.69394,10,"10","bilinear","false","0","none",0,"Features"
"141","svc",0.74515,10,"16","bicubic","false","5","featselp",0,"Features"
"142","qdc",0.62192,10,"16","bicubic","false","5","featselp",0,"Features"
"143","parzen",0.4498,10,"16","bicubic","false","5","featselp",0,"Features"
"144","bpxnc",0.46071,10,"16","bicubic","false","5","featselp",0,"Features"
"145","loglc",0.35364,10,"16","bicubic","false","5","featselp",0,"Features"
"146","knnc",0.34556,10,"16","bicubic","false","5","featselp",0,"Features"
"147","treec",NA,10,"16","bicubic","false","5","featselp",0,"Features"
"148","svc",0.39737,10,"16","bicubic","false","5","featselp",0.95,"Features"
"149","qdc",0.62586,10,"16","bicubic","false","5","featselp",0.95,"Features"
"150","parzen",0.32626,10,"16","bicubic","false","5","featselp",0.95,"Features"
"151","bpxnc",0.41343,10,"16","bicubic","false","5","featselp",0.95,"Features"
"152","loglc",0.35364,10,"16","bicubic","false","5","featselp",0.95,"Features"
"153","knnc",0.33606,10,"16","bicubic","false","5","featselp",0.95,"Features"
"154","treec",NA,10,"16","bicubic","false","5","featselp",0.95,"Features"
"155","svc",0.44333,10,"16","bicubic","false","5","featselp",0.8,"Features"
"156","qdc",0.40333,10,"16","bicubic","false","5","featselp",0.8,"Features"
"157","parzen",0.33424,10,"16","bicubic","false","5","featselp",0.8,"Features"
"158","bpxnc",0.3904,10,"16","bicubic","false","5","featselp",0.8,"Features"
"159","loglc",0.36232,10,"16","bicubic","false","5","featselp",0.8,"Features"
"160","knnc",0.35172,10,"16","bicubic","false","5","featselp",0.8,"Features"
"161","treec",NA,10,"16","bicubic","false","5","featselp",0.8,"Features"
"162","svc",0.35727,10,"16","bicubic","false","20","featselp",0,"Features"
"163","qdc",0.47111,10,"16","bicubic","false","20","featselp",0,"Features"
"164","parzen",0.68374,10,"16","bicubic","false","20","featselp",0,"Features"
"165","bpxnc",0.26152,10,"16","bicubic","false","20","featselp",0,"Features"
"166","loglc",0.18182,10,"16","bicubic","false","20","featselp",0,"Features"
"167","knnc",0.61616,10,"16","bicubic","false","20","featselp",0,"Features"
"168","treec",NA,10,"16","bicubic","false","20","featselp",0,"Features"
"169","svc",0.16677,10,"16","bicubic","false","20","featselp",0.95,"Features"
"170","qdc",0.46313,10,"16","bicubic","false","20","featselp",0.95,"Features"
"171","parzen",0.13808,10,"16","bicubic","false","20","featselp",0.95,"Features"
"172","bpxnc",0.25727,10,"16","bicubic","false","20","featselp",0.95,"Features"
"173","loglc",0.18879,10,"16","bicubic","false","20","featselp",0.95,"Features"
"174","knnc",0.15303,10,"16","bicubic","false","20","featselp",0.95,"Features"
"175","treec",NA,10,"16","bicubic","false","20","featselp",0.95,"Features"
"176","svc",0.20071,10,"16","bicubic","false","20","featselp",0.8,"Features"
"177","qdc",0.40535,10,"16","bicubic","false","20","featselp",0.8,"Features"
"178","parzen",0.18414,10,"16","bicubic","false","20","featselp",0.8,"Features"
"179","bpxnc",0.24636,10,"16","bicubic","false","20","featselp",0.8,"Features"
"180","loglc",0.20505,10,"16","bicubic","false","20","featselp",0.8,"Features"
"181","knnc",0.20222,10,"16","bicubic","false","20","featselp",0.8,"Features"
"182","treec",NA,10,"16","bicubic","false","20","featselp",0.8,"Features"
"183","svc",0.31697,10,"16","bicubic","false","50","featselp",0,"Features"
"184","qdc",0.48919,10,"16","bicubic","false","50","featselp",0,"Features"
"185","parzen",0.53505,10,"16","bicubic","false","50","featselp",0,"Features"
"186","bpxnc",0.18758,10,"16","bicubic","false","50","featselp",0,"Features"
"187","loglc",0.19283,10,"16","bicubic","false","50","featselp",0,"Features"
"188","knnc",0.52889,10,"16","bicubic","false","50","featselp",0,"Features"
"189","treec",NA,10,"16","bicubic","false","50","featselp",0,"Features"
"190","svc",0.11081,10,"16","bicubic","false","50","featselp",0.95,"Features"
"191","qdc",0.57879,10,"16","bicubic","false","50","featselp",0.95,"Features"
"192","parzen",0.10687,10,"16","bicubic","false","50","featselp",0.95,"Features"
"193","bpxnc",0.27515,10,"16","bicubic","false","50","featselp",0.95,"Features"
"194","loglc",0.15162,10,"16","bicubic","false","50","featselp",0.95,"Features"
"195","knnc",0.12152,10,"16","bicubic","false","50","featselp",0.95,"Features"
"196","treec",NA,10,"16","bicubic","false","50","featselp",0.95,"Features"
"197","svc",0.12343,10,"16","bicubic","false","50","featselp",0.8,"Features"
"198","qdc",0.37273,10,"16","bicubic","false","50","featselp",0.8,"Features"
"199","parzen",0.10657,10,"16","bicubic","false","50","featselp",0.8,"Features"
"200","bpxnc",0.21475,10,"16","bicubic","false","50","featselp",0.8,"Features"
"201","loglc",0.13717,10,"16","bicubic","false","50","featselp",0.8,"Features"
"202","knnc",0.12364,10,"16","bicubic","false","50","featselp",0.8,"Features"
"203","treec",NA,10,"16","bicubic","false","50","featselp",0.8,"Features"
"204","svc",0.25576,10,"16","bicubic","false","0","none",0,"Features"
"205","qdc",0.9,10,"16","bicubic","false","0","none",0,"Features"
"206","parzen",0.9,10,"16","bicubic","false","0","none",0,"Features"
"207","bpxnc",0.34505,10,"16","bicubic","false","0","none",0,"Features"
"208","loglc",0.086869,10,"16","bicubic","false","0","none",0,"Features"
"209","knnc",0.45192,10,"16","bicubic","false","0","none",0,"Features"
"210","treec",NA,10,"16","bicubic","false","0","none",0,"Features"
"211","svc",0.71859,10,"16","bilinear","false","5","featselp",0,"Features"
"212","qdc",0.56616,10,"16","bilinear","false","5","featselp",0,"Features"
"213","parzen",0.38485,10,"16","bilinear","false","5","featselp",0,"Features"
"214","bpxnc",0.80545,10,"16","bilinear","false","5","featselp",0,"Features"
"215","loglc",0.70808,10,"16","bilinear","false","5","featselp",0,"Features"
"216","knnc",0.36283,10,"16","bilinear","false","5","featselp",0,"Features"
"217","treec",NA,10,"16","bilinear","false","5","featselp",0,"Features"
"218","svc",0.34677,10,"16","bilinear","false","5","featselp",0.95,"Features"
"219","qdc",0.56596,10,"16","bilinear","false","5","featselp",0.95,"Features"
"220","parzen",0.32525,10,"16","bilinear","false","5","featselp",0.95,"Features"
"221","bpxnc",0.37899,10,"16","bilinear","false","5","featselp",0.95,"Features"
"222","loglc",0.70808,10,"16","bilinear","false","5","featselp",0.95,"Features"
"223","knnc",0.34495,10,"16","bilinear","false","5","featselp",0.95,"Features"
"224","treec",NA,10,"16","bilinear","false","5","featselp",0.95,"Features"
"225","svc",0.3602,10,"16","bilinear","false","5","featselp",0.8,"Features"
"226","qdc",0.33657,10,"16","bilinear","false","5","featselp",0.8,"Features"
"227","parzen",0.32273,10,"16","bilinear","false","5","featselp",0.8,"Features"
"228","bpxnc",0.34889,10,"16","bilinear","false","5","featselp",0.8,"Features"
"229","loglc",0.62485,10,"16","bilinear","false","5","featselp",0.8,"Features"
"230","knnc",0.35111,10,"16","bilinear","false","5","featselp",0.8,"Features"
"231","treec",NA,10,"16","bilinear","false","5","featselp",0.8,"Features"
"232","svc",0.31172,10,"16","bilinear","false","20","featselp",0,"Features"
"233","qdc",0.53051,10,"16","bilinear","false","20","featselp",0,"Features"
"234","parzen",0.68576,10,"16","bilinear","false","20","featselp",0,"Features"
"235","bpxnc",0.22818,10,"16","bilinear","false","20","featselp",0,"Features"
"236","loglc",0.19141,10,"16","bilinear","false","20","featselp",0,"Features"
"237","knnc",0.66273,10,"16","bilinear","false","20","featselp",0,"Features"
"238","treec",NA,10,"16","bilinear","false","20","featselp",0,"Features"
"239","svc",0.14838,10,"16","bilinear","false","20","featselp",0.95,"Features"
"240","qdc",0.42939,10,"16","bilinear","false","20","featselp",0.95,"Features"
"241","parzen",0.1503,10,"16","bilinear","false","20","featselp",0.95,"Features"
"242","bpxnc",0.27141,10,"16","bilinear","false","20","featselp",0.95,"Features"
"243","loglc",0.22192,10,"16","bilinear","false","20","featselp",0.95,"Features"
"244","knnc",0.20566,10,"16","bilinear","false","20","featselp",0.95,"Features"
"245","treec",NA,10,"16","bilinear","false","20","featselp",0.95,"Features"
"246","svc",0.21758,10,"16","bilinear","false","20","featselp",0.8,"Features"
"247","qdc",0.52828,10,"16","bilinear","false","20","featselp",0.8,"Features"
"248","parzen",0.18515,10,"16","bilinear","false","20","featselp",0.8,"Features"
"249","bpxnc",0.2701,10,"16","bilinear","false","20","featselp",0.8,"Features"
"250","loglc",0.21657,10,"16","bilinear","false","20","featselp",0.8,"Features"
"251","knnc",0.23535,10,"16","bilinear","false","20","featselp",0.8,"Features"
"252","treec",NA,10,"16","bilinear","false","20","featselp",0.8,"Features"
"253","svc",0.24323,10,"16","bilinear","false","50","featselp",0,"Features"
"254","qdc",0.45212,10,"16","bilinear","false","50","featselp",0,"Features"
"255","parzen",0.54929,10,"16","bilinear","false","50","featselp",0,"Features"
"256","bpxnc",0.24222,10,"16","bilinear","false","50","featselp",0,"Features"
"257","loglc",0.14566,10,"16","bilinear","false","50","featselp",0,"Features"
"258","knnc",0.50313,10,"16","bilinear","false","50","featselp",0,"Features"
"259","treec",NA,10,"16","bilinear","false","50","featselp",0,"Features"
"260","svc",0.096667,10,"16","bilinear","false","50","featselp",0.95,"Features"
"261","qdc",0.5104,10,"16","bilinear","false","50","featselp",0.95,"Features"
"262","parzen",0.10566,10,"16","bilinear","false","50","featselp",0.95,"Features"
"263","bpxnc",0.35424,10,"16","bilinear","false","50","featselp",0.95,"Features"
"264","loglc",0.1297,10,"16","bilinear","false","50","featselp",0.95,"Features"
"265","knnc",0.13859,10,"16","bilinear","false","50","featselp",0.95,"Features"
"266","treec",NA,10,"16","bilinear","false","50","featselp",0.95,"Features"
"267","svc",0.15434,10,"16","bilinear","false","50","featselp",0.8,"Features"
"268","qdc",0.37556,10,"16","bilinear","false","50","featselp",0.8,"Features"
"269","parzen",0.11343,10,"16","bilinear","false","50","featselp",0.8,"Features"
"270","bpxnc",0.20707,10,"16","bilinear","false","50","featselp",0.8,"Features"
"271","loglc",0.17303,10,"16","bilinear","false","50","featselp",0.8,"Features"
"272","knnc",0.13313,10,"16","bilinear","false","50","featselp",0.8,"Features"
"273","treec",NA,10,"16","bilinear","false","50","featselp",0.8,"Features"
"274","svc",0.26889,10,"16","bilinear","false","0","none",0,"Features"
"275","qdc",0.9,10,"16","bilinear","false","0","none",0,"Features"
"276","parzen",0.9,10,"16","bilinear","false","0","none",0,"Features"
"277","bpxnc",0.31919,10,"16","bilinear","false","0","none",0,"Features"
"278","loglc",0.090404,10,"16","bilinear","false","0","none",0,"Features"
"279","knnc",0.46717,10,"16","bilinear","false","0","none",0,"Features"
"280","treec",NA,10,"16","bilinear","false","0","none",0,"Features"
"281","svc",0.49438,200,"10","bicubic","false","5","featselp",0,"Features"
"282","qdc",0.2525,200,"10","bicubic","false","5","featselp",0,"Features"
"283","parzen",0.42313,200,"10","bicubic","false","5","featselp",0,"Features"
"284","bpxnc",0.31363,200,"10","bicubic","false","5","featselp",0,"Features"
"285","loglc",0.26938,200,"10","bicubic","false","5","featselp",0,"Features"
"286","knnc",0.39675,200,"10","bicubic","false","5","featselp",0,"Features"
"287","treec",0.34413,200,"10","bicubic","false","5","featselp",0,"Features"
"288","svc",0.33875,200,"10","bicubic","false","5","featselp",0.95,"Features"
"289","qdc",0.2525,200,"10","bicubic","false","5","featselp",0.95,"Features"
"290","parzen",0.23113,200,"10","bicubic","false","5","featselp",0.95,"Features"
"291","bpxnc",0.32525,200,"10","bicubic","false","5","featselp",0.95,"Features"
"292","loglc",0.26938,200,"10","bicubic","false","5","featselp",0.95,"Features"
"293","knnc",0.22475,200,"10","bicubic","false","5","featselp",0.95,"Features"
"294","treec",0.36637,200,"10","bicubic","false","5","featselp",0.95,"Features"
"295","svc",0.3995,200,"10","bicubic","false","5","featselp",0.8,"Features"
"296","qdc",0.29713,200,"10","bicubic","false","5","featselp",0.8,"Features"
"297","parzen",0.26213,200,"10","bicubic","false","5","featselp",0.8,"Features"
"298","bpxnc",0.34987,200,"10","bicubic","false","5","featselp",0.8,"Features"
"299","loglc",0.32125,200,"10","bicubic","false","5","featselp",0.8,"Features"
"300","knnc",0.26163,200,"10","bicubic","false","5","featselp",0.8,"Features"
"301","treec",0.39313,200,"10","bicubic","false","5","featselp",0.8,"Features"
"302","svc",0.1775,200,"10","bicubic","false","20","featselp",0,"Features"
"303","qdc",0.090125,200,"10","bicubic","false","20","featselp",0,"Features"
"304","parzen",0.3175,200,"10","bicubic","false","20","featselp",0,"Features"
"305","bpxnc",0.094875,200,"10","bicubic","false","20","featselp",0,"Features"
"306","loglc",0.082,200,"10","bicubic","false","20","featselp",0,"Features"
"307","knnc",0.31425,200,"10","bicubic","false","20","featselp",0,"Features"
"308","treec",0.367,200,"10","bicubic","false","20","featselp",0,"Features"
"309","svc",0.098375,200,"10","bicubic","false","20","featselp",0.95,"Features"
"310","qdc",0.08675,200,"10","bicubic","false","20","featselp",0.95,"Features"
"311","parzen",0.089,200,"10","bicubic","false","20","featselp",0.95,"Features"
"312","bpxnc",0.10325,200,"10","bicubic","false","20","featselp",0.95,"Features"
"313","loglc",0.09775,200,"10","bicubic","false","20","featselp",0.95,"Features"
"314","knnc",0.094125,200,"10","bicubic","false","20","featselp",0.95,"Features"
"315","treec",0.31325,200,"10","bicubic","false","20","featselp",0.95,"Features"
"316","svc",0.1215,200,"10","bicubic","false","20","featselp",0.8,"Features"
"317","qdc",0.10513,200,"10","bicubic","false","20","featselp",0.8,"Features"
"318","parzen",0.10025,200,"10","bicubic","false","20","featselp",0.8,"Features"
"319","bpxnc",0.11263,200,"10","bicubic","false","20","featselp",0.8,"Features"
"320","loglc",0.11725,200,"10","bicubic","false","20","featselp",0.8,"Features"
"321","knnc",0.1045,200,"10","bicubic","false","20","featselp",0.8,"Features"
"322","treec",0.28063,200,"10","bicubic","false","20","featselp",0.8,"Features"
"323","svc",0.08775,200,"10","bicubic","false","50","featselp",0,"Features"
"324","qdc",0.044875,200,"10","bicubic","false","50","featselp",0,"Features"
"325","parzen",0.19525,200,"10","bicubic","false","50","featselp",0,"Features"
"326","bpxnc",0.05375,200,"10","bicubic","false","50","featselp",0,"Features"
"327","loglc",0.064,200,"10","bicubic","false","50","featselp",0,"Features"
"328","knnc",0.204,200,"10","bicubic","false","50","featselp",0,"Features"
"329","treec",0.40775,200,"10","bicubic","false","50","featselp",0,"Features"
"330","svc",0.049125,200,"10","bicubic","false","50","featselp",0.95,"Features"
"331","qdc",0.044,200,"10","bicubic","false","50","featselp",0.95,"Features"
